2024-06-01 13:46:32,183 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Configure stats pid to 2546606
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Loading settings from /home/aj32632/.config/wandb/settings
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Loading settings from /home/aj32632/Camera_Ready/welore/wandb/settings
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'welore_continual_finetune.py', 'program': '/home/aj32632/Camera_Ready/welore/welore_continual_finetune.py'}
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_init.py:_log_setup():507] Logging user logs to /home/aj32632/Camera_Ready/welore/wandb/run-20240601_134632-0y4mdzya/logs/debug.log
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_init.py:_log_setup():508] Logging internal logs to /home/aj32632/Camera_Ready/welore/wandb/run-20240601_134632-0y4mdzya/logs/debug-internal.log
2024-06-01 13:46:32,184 INFO    MainThread:2546606 [wandb_init.py:init():547] calling init triggers
2024-06-01 13:46:32,185 INFO    MainThread:2546606 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2024-06-01 13:46:32,185 INFO    MainThread:2546606 [wandb_init.py:init():596] starting backend
2024-06-01 13:46:32,185 INFO    MainThread:2546606 [wandb_init.py:init():600] setting up manager
2024-06-01 13:46:32,188 INFO    MainThread:2546606 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-06-01 13:46:32,190 INFO    MainThread:2546606 [wandb_init.py:init():606] backend started and connected
2024-06-01 13:46:32,195 INFO    MainThread:2546606 [wandb_init.py:init():703] updated telemetry
2024-06-01 13:46:32,195 INFO    MainThread:2546606 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2024-06-01 13:46:32,424 INFO    MainThread:2546606 [wandb_run.py:_on_init():2176] communicating current version
2024-06-01 13:46:32,525 INFO    MainThread:2546606 [wandb_run.py:_on_init():2185] got version response upgrade_message: "wandb version 0.17.0 is available!  To upgrade, please run:\n $ pip install wandb --upgrade"

2024-06-01 13:46:32,525 INFO    MainThread:2546606 [wandb_init.py:init():787] starting run threads in backend
2024-06-01 13:46:36,989 INFO    MainThread:2546606 [wandb_run.py:_console_start():2155] atexit reg
2024-06-01 13:46:36,990 INFO    MainThread:2546606 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2024-06-01 13:46:36,990 INFO    MainThread:2546606 [wandb_run.py:_redirect():2075] Wrapping output streams.
2024-06-01 13:46:36,990 INFO    MainThread:2546606 [wandb_run.py:_redirect():2100] Redirects installed.
2024-06-01 13:46:36,991 INFO    MainThread:2546606 [wandb_init.py:init():828] run started, returning control to user process
